DATE,PRTCPIALLMINMEI
1965-08-01,1.25212405122509
1965-09-01,1.27187364193842
1965-10-01,1.27187364193842
1965-11-01,1.29656063033009
1965-12-01,1.28174843729509
1966-01-01,1.30149802800842
1966-02-01,1.32223509825741
1966-03-01,1.32914745500708
1966-04-01,1.31927265965041
1966-05-01,1.30939786429375
1966-06-01,1.29261071218742
1966-07-01,1.29754810986575
1966-08-01,1.30544794615108
1966-09-01,1.32914745500708
1966-10-01,1.35383444339874
1966-11-01,1.35087200479174
1966-12-01,1.33803477082808
1967-01-01,1.34593460711341
1967-02-01,1.36272175921974
1967-03-01,1.38345882946874
1967-04-01,1.37160907504074
1967-05-01,1.35087200479174
1967-06-01,1.35580940247007
1967-07-01,1.36864663643374
1967-08-01,1.39728354296807
1967-09-01,1.42987036764506
1967-10-01,1.43875768346606
1967-11-01,1.45653231510806
1967-12-01,1.46344467185772
1968-01-01,1.46541963092905
1968-02-01,1.47035702860739
1968-03-01,1.47628190582138
1968-04-01,1.46936954907172
1968-05-01,1.46146971278639
1968-06-01,1.45159491742972
1968-07-01,1.45356987650106
1968-08-01,1.46640711046472
1968-09-01,1.48714418071372
1968-10-01,1.49306905792771
1968-11-01,1.52565588260471
1968-12-01,1.52170596446204
1969-01-01,1.53158075981871
1969-02-01,1.57996725706636
1969-03-01,1.59774188870836
1969-04-01,1.5878670933517
1969-05-01,1.60761668406503
1969-06-01,1.5789797775307
1969-07-01,1.5878670933517
1969-08-01,1.58687961381603
1969-09-01,1.61847895895736
1969-10-01,1.65402822224135
1969-11-01,1.68464008784701
1969-12-01,1.68464008784701
1970-01-01,1.69451488320368
1970-02-01,1.67279033341901
1970-03-01,1.70833959670301
1970-04-01,1.69846480134634
1970-05-01,1.67970269016868
1970-06-01,1.68562756738268
1970-07-01,1.69846480134634
1970-08-01,1.71228951484567
1970-09-01,1.73006414648767
1970-10-01,1.73993894184433
1970-11-01,1.749813737201
1970-12-01,1.761663491629
1971-01-01,1.79523779584166
1971-02-01,1.80313763212699
1971-03-01,1.84856169076765
1971-04-01,1.87324867915931
1971-05-01,1.88213599498031
1971-06-01,1.89299826987264
1971-07-01,1.90682298337197
1971-08-01,1.91373534012163
1971-09-01,1.97495907133296
1971-10-01,2.00754589600995
1971-11-01,2.05691987279327
1971-12-01,2.02927044579461
1972-01-01,2.04210767975828
1972-02-01,2.07765694304227
1972-03-01,2.09938149282693
1972-04-01,2.08950669747027
1972-05-01,2.15468034682426
1972-06-01,2.1003689723626
1972-07-01,2.11419368586193
1972-08-01,2.10431889050526
1972-09-01,2.13986815378926
1972-10-01,2.15270538775292
1972-11-01,2.16554262171659
1972-12-01,2.19516700778658
1973-01-01,2.23762862782024
1973-02-01,2.30773967485256
1973-03-01,2.2860151250679
1973-04-01,2.30378975670989
1973-05-01,2.34723885627922
1973-06-01,2.35316373349322
1973-07-01,2.36698844699255
1973-08-01,2.39365039445554
1973-09-01,2.4627739619522
1973-10-01,2.51017297966419
1973-11-01,2.53485996805585
1973-12-01,2.63163296255116
1974-01-01,2.67113214397782
1974-02-01,2.84388024127863
1974-03-01,2.94259343973624
1974-04-01,2.91909029724633
1974-05-01,2.94611891110972
1974-06-01,2.9531698538567
1974-07-01,2.9778481534711
1974-08-01,3.08361229467567
1974-09-01,3.23285724948658
1974-10-01,3.14472046514943
1974-11-01,3.10829059429008
1974-12-01,3.12004216553503
1975-01-01,3.26341133472346
1975-02-01,3.21287957837016
1975-03-01,3.376226418675
1975-04-01,3.34567233343813
1975-05-01,3.35624874755858
1975-06-01,3.45731226026518
1975-07-01,3.48316571700408
1975-08-01,3.43263396065078
1975-09-01,3.59010501533315
1975-10-01,3.55955093009627
1975-11-01,3.56660187284324
1975-12-01,3.78870656937286
1976-01-01,4.03783987976586
1976-02-01,3.88977008207945
1976-03-01,3.99318390903504
1976-04-01,3.77342952675442
1976-05-01,3.66178959992736
1976-06-01,3.89682102482642
1976-07-01,4.21998923406263
1976-08-01,4.29637444715483
1976-09-01,4.41624047385335
1976-10-01,4.56548542866425
1976-11-01,4.62541844201351
1976-12-01,4.81579389618175
1977-01-01,4.79581622506533
1977-02-01,4.93016675222528
1977-03-01,5.31829049735404
1977-04-01,5.49941491174746
1977-05-01,5.53922247535041
1977-06-01,5.53325134080997
1977-07-01,5.53723209717026
1977-08-01,5.61684722437616
1977-09-01,5.59694344257469
1977-10-01,5.71437575520339
1977-11-01,5.7820486133284
1977-12-01,5.89649535868688
1978-01-01,6.0398025876575
1978-02-01,6.05572561309868
1978-03-01,6.11046101305273
1978-04-01,6.48564730001053
1978-05-01,6.55630572540577
1978-06-01,6.56128167085614
1978-07-01,6.68568030711535
1978-08-01,6.76031948887088
1978-09-01,6.85585764151796
1978-10-01,7.06385216134337
1978-11-01,7.14545766672942
1978-12-01,7.274832248439
1979-01-01,7.33255321566328
1979-02-01,7.45595666283242
1979-03-01,7.57537935364127
1979-04-01,7.79233057527735
1979-05-01,8.01923368781416
1979-06-01,8.04212303688585
1979-07-01,8.06501238595755
1979-08-01,8.23618490945023
1979-09-01,8.41730932384365
1979-10-01,8.59843373823707
1979-11-01,8.68899594543378
1979-12-01,8.80244750170219
1980-01-01,8.88405300708824
1980-02-01,9.04925439604047
1980-03-01,9.16469633048902
1980-04-01,9.2263980540736
1980-05-01,9.21644616317286
1980-06-01,9.31297950491001
1980-07-01,9.40254652301665
1980-08-01,9.49211354112329
1980-09-01,9.50803656656447
1980-10-01,9.59461801740088
1980-11-01,9.65333417371523
